cluster,used_hashtags
levenshtein cluster 1,"['graz', 'bestes', 'bts', 'team', 'snow', 'grow', 'best', 'meat', 'benq', 'bar', 'boss', 'xeen', 'tee', 'em', 'break', 'crazy', 'Graz', 'great', 'dream', 'brot']"
levenshtein cluster 2,"['summer', 'sumpf', 'yummy', 'sun', 'sunset', 'sunday', 'sommer', 'hunger', 'soccer', 'pumps', 'yummi', 'funny', 'tea', 'tbt', 'singer', 'burger', 'sunny', 'curry', 'kumberg']"
levenshtein cluster 3,"['igergraz', 'igersgraz', 'igerslinz', 'cidergram', 'igerswien']"
levenshtein cluster 4,"['wetter', 'nature', 'cats', 'uae', 'game', 'natur', 'skate', 'mate', 'future', 'meat', 'atp', 'vote', 'tarte', 'water', 'lake', 'mode', 'dose', 'winter', 'singer', 'taste', 'ingwer']"
levenshtein cluster 5,"['setup', 'startup', 'sun', 'stadt', 'art', 'startups', 'wald', 'öbb', 'gala', 'benq', 'dp', 'tarte', 'a7s', 'xeen', 'cine', 'em', 'TOP', 'cpu', 'cgi', 'vfx', 'c4d']"
levenshtein cluster 6,"['win', 'mut', 'jan', 'sea', 'sunny', 'gin', 'fun', 'uk', 'brot', 'hund', 'sun', 'see', 'soon', 'funny', 'art']"
levenshtein cluster 7,"['ligt', 'sumpf', 'sushi', 'dubai', 'yoga', 'yummy', 'cool', 'dell', 'gala', 'dusk', 'ikea', 'boss', 'cine', 'yummi', 'usa', 'cpu', 'cgi', 'sunny', 'ship', 'c4d']"
levenshtein cluster 8,"['zeit', 'jp', 'fair', 'uae', 'bf', 'holiday', 'holidays', 'bier', 'see', 'sunday', 'win', 'sundown', 'red', 'moon', 'funny', 'monday', 'friday', 'uk', 'sunnydays', 'hund', 'town']"
levenshtein cluster 9,"['win', 'women', 'view', 'linz', 'wow', 'vino', 'jan', 'bio', 'xeen', 'cine', 'wine', 'bier', 'gin', 'diy', 'wein', 'wien', 'eis', 'rain']"
levenshtein cluster 10,"['Gewinnspiel', 'gewinnspiel']"
levenshtein cluster 11,"['bestfood', 'seafood', 'italianfood', 'ınstagood', 'asianfood', 'instafood', 'superfood', 'grazfood', 'soulfood', 'drinkstagram', 'instagram', 'instagood']"
levenshtein cluster 12,"['food', 'pool', 'wood', 'moon', 'foto', 'ootd', 'mode', 'foodie', 'soon', 'cool', 'meow', 'cold', 'mood']"
levenshtein cluster 13,"['essen', 'friends', 'wien', 'linz', 'freude', 'drinks', 'kids', 'nye', 'diy', 'wood', 'water', 'like', 'tee', 'ocean', 'feiern', 'wow', 'green', 'friendship', 'drink', 'ferien', 'new']"
levenshtein cluster 14,"['team', 'insta', 'icetea', 'nye', 'bio', 'icedtea', 'matetea', 'ootd', 'mate', 'diy', 'tb', 'ikea', 'cat', 'bar', 'milktea', 'gin', 'icecream', 'tea', 'mut', 'new', 'cute']"
levenshtein cluster 15,"['foodblog', 'foodlovers', 'foodblogger', 'foodlover']"
levenshtein cluster 16,"['österreich', 'Österreich']"
levenshtein cluster 17,"['jp', 'bf', 'art', 'mare', 'party', 'tb', 'park', 'dxb', 'cat', 'atp', 'bar', 'tarte', 'a7s', 'tee', 'bbq', 'tea', 'tbt', 'job', 'uk', 'krk']"
levenshtein cluster 18,"['atp', 'jp', 'cpu', 'duft', 'dp', 'boss', 'uae', 'rost', 'musik', 'rose', 'uk', 'bf', 'usa', 'dusk', 'em', 'dji', 'music', 'dose']"
levenshtein cluster 19,"['london', 'tester', 'corgi', 'trvp', 'skate', 'trees', 'rost', 'rose', 'lockdown', 'Lockdown', 'funny', 'mode', 'monday', 'crazy', 'dose', 'torte', 'slowdown', 'curry', 'town', 'pure']"
levenshtein cluster 20,"['tasty', 'tarte', 'taste', 'torte', 'mare', 'party', 'india', 'curry', 'cherry', 'game', 'lake', 'park', 'mode', 'marry', 'pasta', 'pure', 'insta']"
levenshtein cluster 21,"['dec', 'red', 'sea', 'team', 'tee', 'new', 'usa', 'see', 'em', 'tea', 'meat', 'tbt', 'ikea']"
levenshtein cluster 22,"['makeup', 'metal', 'fair', 'bts', 'mountain', 'wald', 'danke', 'gala', 'matetea', 'montag', 'mate', 'see', 'park', 'maxon', 'razer', 'mountains', 'moon', 'moda', 'donau', 'blue']"
levenshtein cluster 23,"['dec', 'band', 'team', 'brand', 'lunch', 'brunch', 'jeans', 'best', 'beachday', 'meat', 'benq', 'beach', 'bar', 'smile', 'healthy', 'health', 'milch', 'bay', 'beauty', 'nacht']"
levenshtein cluster 24,"['cocktails', 'cocktailbar', 'cocktail']"
levenshtein cluster 25,"['naturelover', 'naturelovers', 'naturelove']"
levenshtein cluster 26,"['nice', 'view', 'kino', 'winzer', 'bts', 'bingo', 'bf', 'vibe', 'vibes', 'ginger', 'cake', 'liebe', 'bio', 'wine', 'bier', 'video', 'cine', 'winter', 'vino', 'blog']"
levenshtein cluster 27,"['coffeelovers', 'coffeelover']"
levenshtein cluster 28,"['verrucktnachmarry', 'verrücktnachmarry', 'verrücktnachbarry']"
levenshtein cluster 29,"['women', 'nice', 'loveit', 'love', 'vote', 'like', 'rose', 'nike', 'lake', 'cover', 'mylove', 'game', 'cute', 'horse', 'home', 'mode', 'dose']"
levenshtein cluster 30,"['love', 'shoot', 'sunnyday', 'yoga', 'cool', 'wine', 'montag', 'mate', 'soon', 'sunday', 'maxon', 'dog', 'moon', 'moda', 'sonne', 'sonntag', 'monday', 'sunny', 'sunnydays', 'town']"
levenshtein cluster 31,"['cat', 'mut', 'danke', 'liebe', 'cats', 'uae', 'cine', 'like', 'mare', 'nike', 'lake', 'game', 'mate', 'cute', 'cake', 'pure']"
levenshtein cluster 32,"['newyears', 'newyearsparty', 'newyearsday', 'newyear', 'newyearseve']"
levenshtein cluster 33,"['nice', 'minze', 'kino', 'hitze', 'milk', 'uae', 'game', 'girl', 'rose', 'bier', 'see', 'kochen', 'unique', 'lake', 'küche', 'milch', 'vino', 'kuchen', 'blue', 'pure']"
levenshtein cluster 34,"['fair', 'band', 'flir', 'wald', 'food', 'grow', 'rost', 'rose', 'foodie', 'foodies', 'cookies', 'red', 'boss', 'moda', 'mode', 'dose', 'job', 'blog', 'pop', 'hund', 'town']"
levenshtein cluster 35,"['bts', 'cats', 'bye', 'bf', 'bmw', 'öbb', 'bio', 'mate', 'diy', 'cat', 'bar', 'lgbt', 'tee', 'bbq', 'eis', 'tbt', 'mut', 'bay', 'brot']"
levenshtein cluster 36,"['ligt', 'nice', 'love', 'jan', 'vibe', 'linz', 'liebe', 'nye', 'inlove', 'wine', 'nike', 'diy', 'life', 'cine', 'like', 'lake', 'gin', 'eis', 'rain']"
levenshtein cluster 37,"['goodtimes', 'wildlife', 'goodlife', 'uaelife', 'unilife', 'goodtime', 'foodie', 'gymlife', 'goodvibes', 'dubailife', 'foodies']"
levenshtein cluster 38,"['bts', 'bye', 'bf', 'feuer', 'bmw', 'öbb', 'best', 'bier', 'see', 'benq', 'bar', 'xeen', 'beer', 'tee', 'bbq', 'bay', 'bowl', 'town', 'beeren']"
levenshtein cluster 39,"['geschenk', 'geschenke']"
levenshtein cluster 40,"['essen', 'share', 'yoga', 'insta', 'snow', 'best', 'nye', 'herz', 'diy', 'dog', 'black', 'snacks', 'bar', 'sea', 'news', 'snack', 'break', 'bbq', 'pasta', 'mut', 'wein']"
levenshtein cluster 41,"['jp', 'uae', 'fun', 'bf', 'flir', 'feuer', 'öbb', 'fruit', 'dxb', 'atp', 'duft', 'red', 'moon', 'usa', 'em', 'fruits', 'frucht', 'blue', 'fruity', 'town']"
levenshtein cluster 42,"['nebel', 'bts', 'flir', 'dell', 'desert', 'öbb', 'gala', 'razer', 'ikea', 'atp', 'boss', 'desserts', 'beer', 'gin', 'em', 'TOP', 'cpu', 'vfx', 'dessert']"
levenshtein cluster 43,"['view', 'dec', 'team', 'review', 'bmw', 'snow', 'nye', 'newin', 'see', 'soon', 'red', 'xeen', 'tee', 'news', 'em', 'wow', 'new', 'wein', 'meow']"
levenshtein cluster 44,"['zeit', 'repost', 'bts', 'dec', 'hello', 'bye', 'cats', 'Repost', 'dell', 'best', 'rost', 'beats', 'meat', 'dp', 'a7s', 'deko', 'em', 'eis', 'dose', 'pop', 'dji']"
levenshtein cluster 45,"['repost', 'hotel', 'nebel', 'metal', 'essen', 'bestes', 'rezepte', 'selfie', 'nissan', 'corona', 'kerzen', 'rose', 'see', 'soon', 'äpfel', 'xeen', 'moon', 'rezept', 'cover', 'veli', 'kessler']"
levenshtein cluster 46,"['kino', 'corona', 'shoot', 'cool', 'bmw', 'corgi', 'snow', 'see', 'dog', 'shots', 'sundown', 'moon', 'sonne', 'job', 'Corona', 'vino', 'blog', 'pop', 'sunny', 'ship', 'town']"
levenshtein cluster 47,"['minze', 'kino', 'singer', 'winzer', 'vino', 'vote', 'video', 'wine', 'rose', 'nike', 'singen', 'ingwer', 'vibe', 'ginger', 'foto', 'hunger']"
levenshtein cluster 48,"['wow', 'pool', 'pop', 'boss', 'wood', 'moon', 'bowl', 'c4d', 'soon', 'cool', 'wald', 'cold']"
