cluster,used_hashtags
levenshtein cluster 1,"['graz', 'great', 'grow', 'dream', 'brot', 'break', 'crazy', 'Graz']"
levenshtein cluster 2,"['summer', 'soccer', 'burger', 'yummi', 'yummy', 'sunset', 'kumberg', 'sommer', 'hunger']"
levenshtein cluster 3,"['igergraz', 'igersgraz', 'igerslinz', 'cidergram', 'igerswien']"
levenshtein cluster 4,"['natur', 'winter', 'singer', 'wetter', 'nature', 'water', 'ingwer', 'mate', 'future']"
levenshtein cluster 5,"['benq', 'dp', 'tarte', 'a7s', 'setup', 'startup', 'sun', 'stadt', 'startups']"
levenshtein cluster 6,"['win', 'mut', 'jan', 'gin', 'fun', 'uk', 'hund', 'sun', 'funny']"
levenshtein cluster 7,"['pumps', 'sumpf', 'pop', 'sunny', 'yummi', 'curry', 'yummy', 'sun', 'funny']"
levenshtein cluster 8,"['sundown', 'holidays', 'sunnydays', 'hund', 'holiday', 'sunday', 'funny', 'monday', 'friday']"
levenshtein cluster 9,"['win', 'sea', 'cine', 'wine', 'gin', 'wein', 'sun', 'wien']"
levenshtein cluster 10,"['Gewinnspiel', 'gewinnspiel']"
levenshtein cluster 11,"['bestfood', 'seafood', 'ınstagood', 'asianfood', 'instafood', 'drinkstagram', 'instagram', 'instagood']"
levenshtein cluster 12,"['food', 'wood', 'moon', 'hund', 'sun', 'see', 'soon', 'mood']"
levenshtein cluster 13,"['freude', 'drinks', 'friendship', 'essen', 'drink', 'ferien', 'friends', 'new', 'wien']"
levenshtein cluster 14,"['icetea', 'milktea', 'icedtea', 'matetea', 'icecream', 'cute', 'tea', 'ikea', 'insta']"
levenshtein cluster 15,"['foodblog', 'foodlovers', 'foodblogger', 'foodlover']"
levenshtein cluster 16,"['österreich', 'Österreich']"
levenshtein cluster 17,"['cat', 'mut', 'bar', 'mare', 'brot', 'krk', 'tb', 'art', 'tbt']"
levenshtein cluster 18,"['duft', 'boss', 'rost', 'musik', 'rose', 'uk', 'dusk', 'music', 'dose']"
levenshtein cluster 19,"['london', 'lockdown', 'torte', 'slowdown', 'Lockdown', 'mode', 'monday', 'dose', 'pure']"
levenshtein cluster 20,"['atp', 'tasty', 'tarte', 'a7s', 'taste', 'party', 'park', 'art', 'pasta']"
levenshtein cluster 21,"['bbq', 'sea', 'team', 'tee', 'see', 'tb', 'tea']"
levenshtein cluster 22,"['makeup', 'metal', 'fair', 'mountains', 'moda', 'montag', 'mate', 'mountain', 'donau']"
levenshtein cluster 23,"['beach', 'bar', 'best', 'healthy', 'health', 'team', 'beauty', 'brunch']"
levenshtein cluster 24,"['cocktails', 'cocktailbar', 'cocktail']"
levenshtein cluster 25,"['naturelover', 'naturelovers', 'naturelove']"
levenshtein cluster 26,"['nice', 'view', 'winter', 'winzer', 'cine', 'wine', 'vibe', 'vibes', 'ginger']"
levenshtein cluster 27,"['coffeelovers', 'coffeelover']"
levenshtein cluster 28,"['verrucktnachmarry', 'verrücktnachmarry', 'verrücktnachbarry']"
levenshtein cluster 29,"['nice', 'loveit', 'love', 'vote', 'like', 'nike', 'lake', 'mode', 'dose']"
levenshtein cluster 30,"['sunny', 'moda', 'sonntag', 'sunnyday', 'montag', 'yoga', 'sunnydays', 'sunday', 'monday']"
levenshtein cluster 31,"['cat', 'mut', 'love', 'vote', 'mylove', 'lake', 'mate', 'cute', 'cake']"
levenshtein cluster 32,"['newyears', 'newyearsparty', 'newyearsday', 'newyear', 'newyearseve']"
levenshtein cluster 33,"['nice', 'milch', 'minze', 'vino', 'kuchen', 'kochen', 'pure', 'küche']"
levenshtein cluster 34,"['food', 'pool', 'moon', 'soon', 'foodie', 'cold', 'cool', 'foto', 'foodies']"
levenshtein cluster 35,"['cat', 'mut', 'öbb', 'lgbt', 'cats', 'tee', 'bf', 'bbq', 'tbt']"
levenshtein cluster 36,"['nice', 'life', 'love', 'nye', 'inlove', 'like', 'rose', 'cover', 'home']"
levenshtein cluster 37,"['goodtimes', 'goodlife', 'goodtime', 'foodie', 'goodvibes', 'foodies']"
