cluster,used_hashtags
community cluster 1,"{'cat', 'skiing', 'venice', 'sun', 'weather', 'snow', 'beautiful', 'vacation', 'croatia', 'sunglasses', 'summer', 'mountains', 'holiday'}"
community cluster 2,"{'venice', 'great', 'sun', 'travel', 'beautiful', 'tennis', 'instagood', 'best', 'photooftheday', 'summer', 'sunglasses', 'mountains', 'kroatien', 'sea'}"
community cluster 3,"{'spielberg', 'sun', 'instagood', 'beautiful', 'view', 'green', 'nice', 'photooftheday', 'summer', 'croatia', 'pool', 'bay', 'vacation', 'hiking', 'great', 'holiday', 'sea'}"
community cluster 4,"{'cat', 'skiing', 'venice', 'sun', 'beautiful', 'view', 'nice', 'vacation', 'croatia', 'pool', 'bay', 'great', 'holiday'}"
community cluster 5,"{'venice', 'cat', 'spielberg', 'instagood', 'beautiful', 'view', 'nice', 'photooftheday', 'summer', 'vacation', 'croatia', 'pool', 'bay', 'hiking', 'great', 'holiday'}"
community cluster 6,"{'cat', 'view', 'green', 'mountains', 'photooftheday', 'vacation', 'summer', 'croatia', 'pool', 'nice', 'hiking', 'best', 'travel', 'holiday'}"
community cluster 7,"{'cat', 'spielberg', 'instagood', 'view', 'nice', 'photooftheday', 'croatia', 'hiking', 'holiday'}"
community cluster 8,"{'cat', 'spielberg', 'tennis', 'croatia', 'history', 'friends', 'travelphotography', 'inlove', 'travelgram', 'sun', 'view', 'best', 'mountains', 'skiing', 'vacation', 'tb', 'photography', 'travel', 'holiday', 'sea'}"
community cluster 9,"{'dream', 'happynewyear', 'tb', 'view', 'sunshine', 'sunset', 'nice', 'vacationmode', 'vacation', 'summer', 'pool', 'austria', 'love', 'bay', 'travel', 'holiday', 'nye'}"
community cluster 10,"{'blackouttuesday', 'travelphotography', 'happynewyear', 'tb', 'beautiful', 'tea', 'greece', 'graz', 'valentinesday', 'memories', 'home', 'nature', 'explore', 'photography', 'nye'}"
community cluster 11,"{'inlove', 'travelgram', 'happynewyear', 'sun', 'view', 'sunshine', 'italy', 'vacationmode', 'summer', 'graz', 'friends', 'austria', 'love', 'happyplace', 'holiday', 'home'}"
community cluster 12,"{'blackouttuesday', 'dream', 'beautiful', 'sunshine', 'tea', 'sunset', 'vacationmode', 'summer', 'photography', 'happyme', 'memories', 'home', 'nature', 'explore', 'austria', 'travel', 'history'}"
community cluster 13,"{'sunset', 'friends', 'graz', 'travelphotography', 'travelgram', 'sun', 'sunshine', 'view', 'italy', 'beautiful', 'vacationmode', 'greece', 'austria', 'dream', 'india', 'photography', 'memories', 'love', 'life', 'sea'}"
community cluster 14,"{'animals', 'tea', 'sunset', 'graz', 'history', 'travelgram', 'italy', 'valentinesday', 'explore', 'blackouttuesday', 'vacationmode', 'greece', 'summer', 'austria', 'nature', 'dream', 'memories', 'love', 'travel', 'holiday'}"
