UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Los Angeles Chargers,@chargers,2021-02-04T17:34:16.000Z,for the bolt fam ,,💙,89,1.2K,6.8K,['https://pbs.twimg.com/media/EtZg0X6VgAQll9F?format=jpg&name=small'],https://twitter.com/chargers/status/1357381975099645953
J.R. Whalen,@RodneyPierreJu1,2021-02-04T18:42:17.000Z,Yesss!  Congrat to Herbert!,,,,,,[],https://twitter.com/RodneyPierreJu1/status/1357399093195264000
Xbox,@Xbox,2021-02-02T21:00:00.000Z,"Here’s a visualization exercise:

Close your eyes and imagine yourself playing your favorite game. Now open your eyes and go do that.

You’re welcome",,,502,450,7.7K,[],https://twitter.com/Xbox/status/1356708974456803328
J.R. Whalen,@RodneyPierreJu1,2021-02-04T18:48:22.000Z,Well you could make NCAA Football 14 backward compatible for now lol.,,,,,,[],https://twitter.com/RodneyPierreJu1/status/1357400621549309955
B/R Gridiron,@brgridiron,2021-02-13T00:03:23.000Z,How many ,,👀,417,261,1.4K,['https://pbs.twimg.com/media/EuEJeysUcAA636G?format=jpg&name=small'],https://twitter.com/brgridiron/status/1360379000527278086
J.R. Whalen,@RodneyPierreJu1,2021-02-13T14:15:16.000Z,"If Stafford got 2, then Watson is for sure 3-4.",,,,,,[],https://twitter.com/RodneyPierreJu1/status/1360593386324045836
DRIVETRIBE,@DRIVETRIBE,2021-02-19T08:00:01.000Z,"We all have that one car that started it all 

 
@OfficialPagani
 

#friday #fridayfun #petrolhead",,✨ 📷,184,52,132,['https://pbs.twimg.com/media/EuhyysOWYAApEgo?format=jpg&name=small'],https://twitter.com/DRIVETRIBE/status/1362673277622251520
MLB,@MLB,2021-02-12T19:53:24.000Z,"The 
@Dodgers
 and 
@Padres
 are jam packed with pitching.

Which side are you taking?",,,376,446,3.5K,['https://pbs.twimg.com/media/EuDPneeXEAA_yFA?format=jpg&name=small'],https://twitter.com/MLB/status/1360316094083436544
J.R. Whalen,@RodneyPierreJu1,2021-02-13T14:18:14.000Z,"@Padres
 are my boys. They'll take down the Dodgerz this years.",,,,,,[],https://twitter.com/RodneyPierreJu1/status/1360594134000689154
JJ Watt,@JJWatt,2021-02-12T14:49:04.000Z,"Houston, I wanted you to hear this directly from me...",,,16.8K,55.4K,286.5K,['https://pbs.twimg.com/ext_tw_video_thumb/1360239012326367238/pu/img/ZyBD49skx4jbzvth.jpg'],https://twitter.com/JJWatt/status/1360239504376922126
J.R. Whalen,@RodneyPierreJu1,2021-02-12T18:25:52.000Z,"The 
@Chargers
 await you!",,,,,,[],https://twitter.com/RodneyPierreJu1/status/1360294064512528386
FOX Sports: NFL,@NFLonFOX,2021-02-11T18:45:23.000Z,What was the most memorable Super Bowl of all time for you?,,,910,231,1.1K,[],https://twitter.com/NFLonFOX/status/1359936586591395851
