id_of_post,url_of_post,likes_of_post,hashtags_of_post,description_of_post,post_was_liked_by,date_of_post
CRHFTBerh4C,https://www.instagram.com/p/CRHFTBerh4C/,149,#eisteefreunde #teaonthebeach #hibiskus #cassis #bio #organic #nachhaltig #eistee #test #produkttest #ausprobieren #cocktail #icedtea #tea #tealover #fresh #frucht #fruchtig #fruity #sommer #beeren #rot #warm #erfrischend #freitag #friday #wochenende #teeliebe #icetea #tee,"Tea on the Beach Hibiskus Cassis!⁠ ⁠ Intensitea: 🌱🌱⁠ Sweetness: 🌱🌱⁠ Flavor: 🌱🌱🌱🌱⁠ Organic: 🌱🌱🌱🌱⁠ Total: 🌱🌱🌱⁠ ⁠ Fazit: Eistee am Strand - oder auch einfach im Wohnzimmer. Der Tea on the Beach in der Sorte Hibiskus Cassis besticht durch einen ausgewogenen Früchtetee, der gleichzeitig als Aroma-Basis dient. Der Tee setzt dabei auf Apfelstücke, Hibiskusblüten und ""natürliches Aroma"" - das natürliche Aroma beinhaltet die Cassis-Noten. Fruchtig ist der Tee ohne Ende und schmeckt super frisch und intensiv. Neben dem puren Tee sorgt ein Schuss Apfelsaft für eine solide Geschmacksbasis und eine leichte Sweetness. Die natürlich Säure des Tees beendet die Geschmacksreise. Unterm Strich ein leckerer Früchtetee, ohne viele Überraschungen. Daumen hoch!⁠ ⁠                                                             ⁠ *Anzeige Mega lecker 😋",,2021-07-09T15:02:04.000Z
CSW57yxLEhB,https://www.instagram.com/p/CSW57yxLEhB/,107,#eisteefreunde #ti #rooibos #rooibostee #rotbusch #pfirsich #peach #teampfirsich #eistee #icedtea #tea #tealover #test #teeliebe #produkttest #ausprobieren #yummi #lecker #empfehlung #sommer #summer #warm #erfrischen #getränke #trinken #bio #nachhaltig #kalorien #icetea #tee,"Ti Rooibos Tee Pfirsich!⁠ ⁠ Intensitea: 🌱🌱🌱⁠ Sweetness: 🌱🌱⁠ Flavor: 🌱🌱🌱⁠ Organic: 🌱🌱🌱🌱⁠ Total: 🌱🌱🌱🌱⁠ ⁠ Fazit: der heutige Eistee setzt auf einen klassischen und würzigen Rooibos-Tee mit einer toll abgestimmten Intensitea. Zugesetzt wurde dem Ti ein leichtes Pfirsich-Aroma, welches die Tee-Noten auf eine angenehme Art verfeinert. Die Sweetness ist ebenfalls eher niedrig angesetzt und stimmt sich mit der leichten Säure gut ab. Unterm Strich ist der Ti ein toller Rooibos-Vertreter, welcher durch seine würzigen Noten und dem fruchtigen, aber leichten Pfirsich-Aroma überzeugt. Unbedingt Probieren!⁠ ⁠                                                             ⁠ *Anzeige",,2021-08-09T15:01:49.000Z
CRy3Cx7s6WM,https://www.instagram.com/p/CRy3Cx7s6WM/,146,#eisteefreunde #rewe #bestewahl #pfirsich #peach #eistee #schwarztee #blacktea #icedtea #sommer #tea #warm #erfrischen #erfrischung #tealover #testen #test #produkttest #ausprobieren #montag #monday #feierabend #teeliebe #köln #cologne #empfehlung #teampfirsich #lecker #icetea #tee,"Rewe Beste Wahl Iced Tea Pfirsich!⁠ ⁠ Intensitea: 🌱🌱🌱⁠ Sweetness: 🌱🌱🌱⁠ Flavor: 🌱🌱🌱⁠ Organic: 🌱🌱🌱⁠ Total: 🌱🌱🌱⁠ ⁠ Fazit: ein weiterer Vertreter der Pfirsich-Woche - heute von der Hausmarke Rewe Beste Wahl! Basis ist ein schön abgestimmter Schwarztee mit leichten Bitternoten im Abgang. Die Tee-Noten werden abgelöst vom starken Pfirsich-Aroma, welches in die Kategorie ""Standard"" eingeordnet werden kann. Das Pfirsichsaft-Konzentrat wird durch die Sweetness des Zuckers gut in Szene gesetzt. Wer jedoch Geschmacksexplosionen oder natürliche Fruchtigkeit erwartet, wird enttäuscht. Säure beendet das Spektakel und macht aus dem Rewe-Eistee vielleicht nicht die beste Wahl - aber eine durchaus gute Wahl! Freunde des klassischen Pfirsich-Eistees sind gut bedient!⁠ ⁠                                                             ⁠ *Anzeige Promote it on  Gutes Fazit 👏 Immer bei Rewe an der Kasse auf spontan gekauft finde den echt besser als ein Lipton oder so",,2021-07-26T15:02:38.000Z
CSE4XmENHqd,https://www.instagram.com/p/CSE4XmENHqd/,96,#eisteefreunde #topmate #pfirsich #schwarztee #blacktea #vegan #sommer #summer #erfrischen #erfrischung #getränke #trinken #eistee #icedtea #montag #produkttest #testen #ausprobieren #lecker #empfehlung #yummi #feierabend #test #tea #warm #tealover #mate #teeliebe #icetea #tee,"Top-Maté Schwarztee-Pfirsich!⁠ ⁠ Intensitea: 🌱🌱🌱🌱⁠ Sweetness: 🌱🌱🌱⁠ Flavor: 🌱🌱🌱⁠ Organic: 🌱🌱⁠ Total: 🌱🌱🌱🌱⁠ ⁠ Fazit: der heutige Eistee stammt aus dem Hause Top-Maté und tritt an in der Sorte Schwarztee-Pfirsich. Zwar meint man nach dem Namen einen Mate-Eistee zu erwarten, laut Inhaltsstoffen ist diese jedoch nicht vorhanden. Stattdessen finden wir einen intensiven Schwarztee-Aufguss vor mit ebenso starker Intensitea. Aromatisiert wird der Schwarztee mit einem angenehmen Pfirsichsaft, der geschmacklich nicht durch Natürlichkeit hervorsticht, jedoch völlig solide daherkommt. Gesüßt wird mit Zucker, welcher als Bindeglied zwischen Tee und Pfirsich dient und ein kompaktes Gesamtpaket schnürt. Zitrone und reichlich Kohlensäure bringen ein wenig Action ins Spiel und runden die Top-Maté gekonnt ab. Wir finden's super, auch wenn die Namensgebung etwas verwirrend ist. Gerne mal probieren - zukünftig gibt's noch mehr aus dem Hause Top-Maté.⁠ ⁠                                                           ⁠ *Anzeige",,2021-08-02T15:01:38.000Z
CSKB9Xglkue,https://www.instagram.com/p/CSKB9Xglkue/,137,#eisteefreunde #rauch #pfirsich #eisteepfirsich #eistee #icedtea #teampfirsich #peach #lecker #tea #tealover #teeliebe #produkttest #test #ausprobieren #probieren #testen #icetea #tee #rankweil #austria #österreich #mittwoch #feierabend #sommer #erfrischen #erfrischung #warm #getränke #trinken,"Rauch Eistee Pfirsich!⁠ ⁠ Intensitea: 🌱🌱🌱⁠ Sweetness: 🌱🌱🌱⁠ Flavor: 🌱🌱🌱🌱⁠ Organic: 🌱🌱🌱⁠ Total: 🌱🌱🌱⁠ ⁠ Fazit: die Retro-Edition des Rauch-Eistees geht mit einem moderaten Schwarztee an den Start. Die Intensitea ist ausgeglichen und insgesamt sehr solide. Geschmacklich trumpft der Eistee von Rauch mit einem intensiven Pfirsich-Aroma, welches durch die Noten der Hagebutte des Basis-Aufgusses verfeinert werden. Die Sweetness ist gut vorhanden, wirkt jedoch nicht überladend. Umso mehr tritt die Säure des Eistees zum Schluss in den Vordergrund und schließt den Rauch intensiv ab. Unterm Strich eine solide Nummer mit ordentlicher Säure.⁠ ⁠                                                             ⁠ *Anzeige Ich finde es auch gut, dass es in einer Glasflasche angeboten wird…😊👍🏻",,2021-08-04T15:01:52.000Z
CSzOsbKsr5X,https://www.instagram.com/p/CSzOsbKsr5X/,90,#eisteefreunde #milram #buttermilch #buttermilchdrink #zitrone #lemon #grüntee #greentea #grünertee #eistee #freitag #friday #wochenende #weekend #produkttest #sommer #neuheit #produktneuheit #mutig #gewagt #neuimregal #icedtea #tea #tealover #teeliebe #icetea #tee #summer #getränke #interessant,"Milram Buttermilch-Drink Eistee Zitrone! ⁠ ⁠ Intensitea: 🌱⁠ Sweetness: 🌱🌱⁠ Flavor: 🌱🌱🌱⁠ Organic: 🌱🌱⁠ Total: 🌱🌱⁠ ⁠ Fazit: mal was ganz anderes! Hier haben wir einen exotischen Versuch, ein Milchprodukt mit der Eistee-Branche zu kombinieren. Ein klassischer Buttermilch-Drink der Firma Milram wird mit einem Grüntee-Extrakt vermischt und als Eistee-Version verkauft. Auf dem Papier klingt das super. In der Praxis? Verbesserungswürdig. Die Intensitea ist quasi nicht vorhanden. Im Mittelpunkt liegt ganz klar das klassische Aroma der Buttermilch, welches um leichte Zitronen-Noten erweitert wurde. Der Zuckeranteil und damit die Sweetness ist für ein Buttermilch-Getränk relativ niedrig und fällt dementsprechend klein aus. Säure ist gut vorhanden, für eine Buttermilch jedoch auch nicht unüblich. Uns schmeckt der ""Eistee"" von Milram nicht wirklich gut und schafft es nicht, sich in der Eistee-Wertung durchzusetzen. Dennoch Respekt für den Versuch und den Mut, den Eistee (bzw. Tee) in einem alternativen Getränke-Produkt unterzubringen!⁠ ⁠                                                             ⁠ *Anzeige Milch in Tee ist ja an sich nichts neues :) ich werde ihn Mal probieren. gut gemeint, aber letztlich nur ein marketingmove xD",,2021-08-20T15:02:08.000Z
CR4AY5SNrIl,https://www.instagram.com/p/CR4AY5SNrIl/,128,#eisteefreunde #teinacher #genusseistee #genuss #zitrone #lemon #test #produkttest #ausprobieren #teamzitrone #eistee #wednesday #dailypost #icedtea #tea #tealover #mittwoch #teeliebe #schwarztee #blacktea #badteinach #quelle #mineralwasser #wasser #trinken #getränke #sommer #warm #icetea #tee,"Teinacher Genuss Eistee Zitrone! ⁠ ⁠ Intensitea: 🌱🌱⁠ Sweetness: 🌱🌱🌱🌱⁠ Flavor: 🌱🌱🌱🌱⁠ Organic: 🌱🌱🌱⁠ Total: 🌱🌱⁠ ⁠ Fazit: der zweite Eistee vom Schwarzwälder Getränkehersteller Teinacher steht auf dem Test-Plan. Basis ist ein unauffälliges Schwarztee-Extrakt mit wenig Intensitea. Geschmacklich handelt es sich beim Teinacher um ein intensives, relativ künstliches Zitronen-Aroma, wie wir es von vielen 08/15-Eistees kennen. Die Sweetness ist ebenso hoch wie das Aroma und versüßt den Teinacher nahezu. Die Säure bleibt etwas im Hintergrund und schafft es kaum, die Sweetness zu überdecken. Unterm Strich kann der zweite Teinacher uns auch nicht überzeugen - schade eigentliche! Vertreter:innen des Teams ""Süße Zitrone"" kommen jedoch voll auf ihre Kosten!⁠ ⁠                                                             ⁠ *Anzeige",,2021-07-28T15:01:37.000Z
CSPLjDEt8vH,https://www.instagram.com/p/CSPLjDEt8vH/,122,#eisteefreunde #inspiriti #greentea #grüntee #grünertee #eistee #agave #himbeere #holunderbeere #granatapfel #guarana #saft #icedtea #tea #tealover #teeliebe #icetea #getränke #tee #austria #österreich #international #freitag #friday #wochenende #weekend #lecker #sommer #erfrischen #yummi,"Inspiriti Green Tea!⁠ ⁠ Intensitea: 🌱🌱🌱⁠ Sweetness: 🌱🌱⁠ Flavor: 🌱🌱🌱🌱⁠ Organic: 🌱🌱⁠ Total: 🌱🌱🌱⁠ ⁠ Fazit: ein grüner Super-Fruit-Eistee aus Österreich in einer ebenso grünen, ansehnlichen Dose. Basis ist ein fein abgestimmter grüner Tee mit moderater Intensitea. Die zugesetzten Aromen bestehen aus einem fruchtig-saurem Himbeer-Püree, welches mit sanften Noten des Holunders und einem guten Schuss Granatapfel-Saft abgerundet wird. Die Sweetness setzt auf Agavendicksaft und bleibt eher im Hintergrund. Für das gewisse Etwas sorgt ein Schuss Kohlen- und Zitronensäure. Den Wachmach-Effekt erzeugt Inspiritea durch die belebenden Noten der Guarana. Uns schmeckts, haut uns jedoch nicht vom Hocker!⁠ ⁠                                                             ⁠ *Anzeige Ich hatte ihn heute schon in der Hand aber dann doch einen andren genommen, der sieht einfach nicht aus als wär er so lecker 😁 Nice design and idea!",,2021-08-06T15:01:59.000Z
CShNHRjseau,https://www.instagram.com/p/CShNHRjseau/,86,#eisteefreunde #bos #rooibos #rooibostee #original #pur #pure #südafrika #southafrica #capetown #kapstadt #niederlande #holland #amsterdam #eistee #icedtea #international #test #testen #ausprobieren #freitag #wochenende #weekend #feierabend #sommer #tea #tealover #teeliebe #icetea #tee,"BOS Original & Infused! ⁠ ⁠ Intensitea: 🌱🌱🌱🌱⁠ Sweetness: 🌱🌱🌱⁠ Flavor: 🌱⁠ Organic: 🌱🌱🌱🌱⁠ Total: 🌱🌱🌱🌱🌱⁠ ⁠ Fazit: heute haben wir den südafrikanischen BOS-Eistee getestet und sind begeistert. Basis ist auch hier wieder der Namensgeber Rooibos-Tee, welcher durch seine frische Brühung eine starke und wohlschmeckende Intensitea erzeugt. Original & Infused - das heißt, weitere Aromen = Fehlanzeige. Der BOS setzt auf den reinen Tee und verfeinert diesen mit einem moderaten Schuss Rohrzucker, welcher die feinen Aromen des Tees gut in Szene setzen. Etwas Zitronensäure rundet den Geschmack ab und macht aus dem Löwen-Eistee einen echten Durchstarter. Ganz nach unserem Geschmack bekommt der pure Eistee von BOS volle Punktzahl. Wer auf Rooibos-Tee im Eistee steht, sollte definitiv den BOS probieren!⁠ ⁠                                                             ⁠ *Anzeige ❤️❤️❤️ Das ist ein interessantes Neues Eistee! Kommt es auch Südafrika or nur die Rooibos? Gibt's den in Deutschland auch irgendwo? Oder bekommt man irgendwo ne Probe?😍",,2021-08-13T15:01:55.000Z
CSo7fkdtLfd,https://www.instagram.com/p/CSo7fkdtLfd/,110,#eisteefreunde #teaonthebeach #zitrone #bio #nachhaltig #organic #eistee #lemon #teamzitrone #icedtea #grüntee #grünertee #greentea #tea #tealover #teeliebe #icetea #tee #lecker #test #testen #ausprobieren #produkttest #montag #monday #feierabend #tester #sommer #warm #empfehlung,"Tea on the Beach Zitrone! ⁠ ⁠ Intensitea: 🌱🌱🌱🌱🌱⁠ Sweetness: 🌱🌱⁠ Flavor: 🌱🌱🌱⁠ Organic: 🌱🌱🌱🌱⁠ Total: 🌱🌱🌱🌱⁠ ⁠ Fazit: kein Zweifel, das ist ein echter Eistee. Der Tea on the beach Zitrone geht mit einem extrem starken grünen Tee an den Start. Die Intensitea erreicht volle Punktzahl und befriedigt alle Tee-Enthusiasten. Das zugesetzte Arome besteht aus reinem Zitronen-Aroma, welches geschmacklich eher durch eine intensive Säure glänzt als durch fruchtige Zitronen-Aromen. Die Sweetness ist nur im Ansatz vorhanden und kommt von der zweiten Zutat, dem Apfelsaft. Unterm Strich ein Eistee, der dem Tee alle Ehre macht. Uns gefällt er sehr gut, könnte jedoch durch die intensiven Tee-Aromen und die damit verbundene Bitterheit nicht jedem schmecken.⁠ ⁠                                                             ⁠ *Anzeige 🙌 Tried it once. Surprisingly good 👏🙌 Tea Love from Berlin ❤️",,2021-08-16T15:01:46.000Z
